stop_id,stop_code,stop_name,stop_desc,latitude,longitude,zone_id,parent_station,level_name,geometry_point,,
6491,6491,114 Street & 139 Avenue,,53.60207,-113.518894,1EDM,,Ground Level,POINT (-113.518894 53.60207),,
3882,3882,66 Street & Mill Woods Road S,,53.446562,-113.436479,1EDM,,Ground Level,POINT (-113.436479 53.446562),,
22733,22733,99 Street & 87 Avenue,,53.522469,-113.486236,1EDM,,Ground Level,POINT (-113.486236 53.522469),,
3769,3769,Woodvale Road W & 38 Avenue,,53.474291,-113.43322,1EDM,,Ground Level,POINT (-113.43322 53.474291),,
6765,6765,151 Street & 131 Avenue,,53.590383,-113.581728,1EDM,,Ground Level,POINT (-113.581728 53.590383),,
9352,9352,122 Street & 26 Avenue SW,,53.410504,-113.539282,1EDM,,Ground Level,POINT (-113.539282 53.410504),,
2965,2965,122 Street & 53 Avenue,,53.49182,-113.540988,1EDM,,Ground Level,POINT (-113.540988 53.49182),,
7383,7383,95A Street & 132 Avenue Nearside,,53.591978,-113.490062,1EDM,,Ground Level,POINT (-113.490062 53.591978),,
7329,7329,36 Street & 139 Avenue,,53.603305,-113.396141,1EDM,,Ground Level,POINT (-113.396141 53.603305),,
ODT-4595,4595,156 Street & Falconer Road,Edmonton Transit On-Demand Stop,53.463206,-113.589775,1EDM,,Ground Level,POINT (-113.589775 53.463206),,
5523,5523,137 Street & 109A Avenue,,53.55584,-113.558722,1EDM,,Ground Level,POINT (-113.558722 53.55584),,
F2004,2004,82 Street and 96 Avenue SB,,53.690493,-113.245747,6FST,,Ground Level,POINT (-113.245747 53.690493),,
F3020,3020,98 Avenue and Ross Drive WB,,53.710895,-113.20557,6FST,,Ground Level,POINT (-113.20557 53.710895),,
5255,5255,Connaught Drive & 102 Avenue,,53.543115,-113.542427,1EDM,,Ground Level,POINT (-113.542427 53.543115),,
Q5266,,Southgate Station,,53.485752,-113.516722,1EDM,,,POINT (-113.516722 53.485752),,
1726,1726,St Albert Trail & 115 Avenue,,53.56505,-113.545803,1EDM,,Ground Level,POINT (-113.545803 53.56505),,
3783,3783,17 Street & 23 Avenue,,53.454536,-113.368898,1EDM,,Ground Level,POINT (-113.368898 53.454536),,
5132,5132,142 Street & 101A Avenue,,53.542155,-113.565854,1EDM,,Ground Level,POINT (-113.565854 53.542155),,
ODT-8722,8722,Hope Road & Hemingway Road,Edmonton Transit On-Demand Stop,53.487419,-113.678586,1EDM,,Ground Level,POINT (-113.678586 53.487419),,
5037,5037,130 Street & 102 Avenue,,53.543113,-113.546227,1EDM,,Ground Level,POINT (-113.546227 53.543113),,
5102,5102,Jasper Place Transit Centre Bay B,,53.540703,-113.591767,1EDM,,Ground Level,POINT (-113.591767 53.540703),,
7568,7568,95 Street & 171 Avenue,,53.632854,-113.489107,1EDM,,Ground Level,POINT (-113.489107 53.632854),,
2580,2580,50 Street & 109 Avenue,,53.557535,-113.418951,1EDM,,Ground Level,POINT (-113.418951 53.557535),,
2362,2362,50 Street & 76 Avenue,,53.512046,-113.418538,1EDM,,Ground Level,POINT (-113.418538 53.512046),,
4067,4067,108 Street & 25 Avenue,,53.455878,-113.508016,1EDM,,Ground Level,POINT (-113.508016 53.455878),,
1620,1620,101 Street & Jasper Avenue,,53.54103,-113.495157,1EDM,,Ground Level,POINT (-113.495157 53.54103),,
5210,5210,Westmount Transit Centre Bay H,,53.561479,-113.55574,1EDM,,Ground Level,POINT (-113.55574 53.561479),,
A0053,53,SWC Ave & Grandin Village I,,53.619837,-113.641784,2STA,,Ground Level,POINT (-113.641784 53.619837),,
S9223,9223,Regency Dr & Regal Wy,,53.515578,-113.25842,4SCT,,Ground Level,POINT (-113.25842 53.515578),,
6578,6578,132 Street & 155 Avenue,,53.616804,-113.549121,1EDM,,Ground Level,POINT (-113.549121 53.616804),,
E164,E164,NAIT Blatchford Market Station West Acce,,53.5659954,-113.5065439,,Q1660,Ground Level,POINT (-113.5065439 53.5659954),,
7648,7648,34 Street & 132A Avenue,,53.592752,-113.393185,1EDM,,Ground Level,POINT (-113.393185 53.592752),,
S8305,8305,Sherwood Dr & Bison Wy,,53.549934,-113.29595,4SCT,,Ground Level,POINT (-113.29595 53.549934),,
1280,1280,97 Street & 103 Avenue,,53.545933,-113.487051,1EDM,,Ground Level,POINT (-113.487051 53.545933),,
