stop_id,stop_name,latitude,longitude,nearest_library_km
9408,Desrochers Boulevard & Desrochers Gate SW,53.39876,-113.546235,1.1287369815733228
3736,32 Street & 18 Avenue,53.447385,-113.387901,1.619030272439028
S7707,Jim Common Dr & Crimson Dr,53.544891,-113.280306,7.888837265925676
2918,50 Street & 68 Avenue,53.505275,-113.418017,3.4122259004897213
ODT-8448,Hope Way & Hope Road,53.486419,-113.679363,4.02950086550433
4016,Hanna Crescent E & Haddow Drive,53.451594,-113.591752,1.943509632307604
A0859,Kingswood Dr & Kingsview Point,53.654042,-113.592566,6.588286448549211
4006,Leger Road & Leger Boulevard,53.460324,-113.575735,1.0447058667905573
9676,85 Street & Edwards Drive SW,53.430116,-113.46386,3.4327572059848532
99179,66 Street & 25 Avenue SW,53.410387,-113.441949,5.039841980443489
ODT-1970,120 Street & 104 Avenue,53.545193,-113.528731,2.5961448525141346
5148,149 Street & 112 Avenue,53.560423,-113.577507,1.6099205037674846
1114,Kingsway RAH Station,53.557487,-113.500684,1.3573717395879619
33115,66 Street & 34 Avenue,53.46548,-113.438033,1.1429338212075224
4560,Cheriton Crescent & Carter Crest Road,53.463057,-113.577799,0.7141666276550076
3313,102 Street & 17 Avenue,53.443864,-113.491928,4.034770140579068
9452,141 Street & Ellerslie Road SW,53.423653,-113.564309,2.5300218739776343
2634,106 Street & 70 Avenue,53.50639,-113.504505,1.52698526090001
6129,105 Street & 132 Avenue,53.592138,-113.501135,2.7363342728353586
3512,Parsons Road & 25 Avenue,53.454318,-113.479021,2.9681484893484633
1644,116 Street & 107 Avenue,53.55148,-113.521982,2.3191924205650607
7752,Miller Boulevard & Matheson Way,53.610053,-113.41252,1.2062570561628954
1452,48 Street & 118 Avenue,53.570284,-113.414839,1.616785650247555
4518,South Terwillegar Drive & Simpson Drive,53.436716,-113.58296,3.526027548192538
4778,Lamb Crescent & Leger Way,53.456698,-113.567655,1.6852065308924347
3790,50 Street & 13 Avenue,53.442805,-113.418471,1.7595558054926106
7072,Fort Road & 131 Avenue,53.590533,-113.432684,1.6770733311603234
2780,91 Street & 58 Avenue,53.493857,-113.466345,2.974297801595195
A0461,SWC Ave & Sturgeon Rd,53.651975,-113.596064,6.623904856514222
4206,Century Park Transit Centre Bay F,53.456886,-113.515457,2.6254948400368745
7692,Belvedere Station,53.588187,-113.433239,1.8889473816198123
6680,Palisades Square,53.600746,-113.544103,1.1444573072173627
E105,South Parkade Access,53.601472,-113.411352,0.6346827768739288
9537,Windermere Road & Whitelaw Lane,53.442177,-113.615367,3.5943970275064787
A0499,Deer Ridge Dr & Dufferin St,53.65584,-113.654829,10.172752821475362
S8138,Jim Common Dr & Charlton Ct,53.544598,-113.284299,7.657246018678846
3603,14 Street & Tamarack Green,53.470256,-113.36196,1.5258602993431951
6143,Castle Downs Road & 152 Avenue,53.611611,-113.516858,0.45929966592028826
1535,95 Street & 110 Avenue,53.557914,-113.485941,0.9762374850506776
2384,92 Street & 92 Avenue,53.52736,-113.468264,0.7291578633564161
1196,97 Street & Jasper Avenue,53.542308,-113.484649,0.343344023682101
S5096,Woodbirdge Wy & Wells Point Ln,53.532834,-113.323295,6.206988276655874
S7901,Emerald Dr & Eton Blvd,53.566814,-113.278657,7.431988559059836
7073,34 Street & 139 Avenue,53.602859,-113.394111,0.5357556235475526
ODT-17725,127 Street & 105 Avenue,53.547722,-113.541037,1.9766152074802166
2797,105 Street & Saskatchewan Drive,53.523216,-113.500075,0.4525552134224939
7608,Fraser Way & 148 Avenue,53.611043,-113.36734,2.5236994959059906
S8207,Bethel Transit Terminal,53.54277,-113.30555,6.484946630648194
9049,66 Street & 6 Avenue SW,53.427071,-113.442769,3.2066684069524256
1739,127 Street & 118 Avenue,53.570212,-113.540609,1.1347438492502522
7682,Ozerna Road & 165 Avenue,53.626958,-113.448326,2.453460634545107
2722,105 Street & 82 Avenue,53.517991,-113.499734,0.22118206650125075
4626,Lindsay Crescent & Leger Boulevard,53.460107,-113.568764,1.3578622598597823
1858,127 Street & 120 Avenue,53.573179,-113.541315,1.3383760730044705
5799,160 Street & 114 Avenue,53.563081,-113.596346,2.815837691141152
2186,50 Street & 101A Avenue,53.542333,-113.418759,0.9293776206570853
8036,Garnett Way & Guardian Road,53.507344,-113.667036,1.7971082090271506
ODT-88355,215 Street & Kinglet Boulevard,53.575165,-113.688969,5.927012324547333
5949,178 Street & 93 Avenue,53.526665,-113.629865,2.5112521022379815
3954,22 Street & Silver Berry Road,53.463423,-113.37316,0.6841974152273141
2437,53 Street & Terrace Road,53.540939,-113.421218,0.7379793858706412
4449,112 Street & 29A Avenue,53.462564,-113.520866,2.187056118487448
4275,111 Street & 40 Avenue,53.475121,-113.51673,0.967843981131446
E172,118 Street Southside,53.570237,-113.458901,0.918409495535755
5737,182 Street & 87 Avenue,53.521484,-113.639395,1.8677425644697538
3373,Woodvale Road W & 37A Avenue,53.473039,-113.43352,1.9589897060190447
99243,Chappelle Way & Chegwin Wynd SW,53.40112,-113.589896,3.551437270213132
3116,34 Street & 23 Avenue,53.453955,-113.394543,1.652354861346204
1134,124 Street & 107 Avenue,53.55059,-113.53601,1.8833478381957072
4246,Bulyea Road & Burton Road N,53.475774,-113.572648,1.1044960070544243
A0074,Riel Dr & SWC Ave,53.626824,-113.636212,7.410263226164371
6358,112 Street & 129 Avenue,53.587392,-113.513047,1.9725697150052466
